State,Overpayment_Rate,Underpayment_Rate,Error_Rate,Households,Benefits
Alabama,7.32,0.99,8.32,352465,139245294
Alaska,22.5,2.16,24.66,30125,24137930
Arizona,7.56,1.28,8.84,314647,111795782
Arkansas,7.97,1.59,9.56,121663,40358959
California,9.01,1.98,10.98,3123935,1035406310
Colorado,7.91,2.06,9.97,332126,118253179
Connecticut,8.61,1.65,10.25,202959,67345002
Delaware,10.49,1.88,12.37,58063,21000691
District of Columbia,13.62,3.76,17.38,83303,27288622
Florida,13.05,2.08,15.13,1470872,477471051
Georgia,13.59,2.06,15.65,668776,264618057
Guam,7.88,1.84,9.72,14855,12462609
Hawaii,5.87,0.8,6.68,82186,53798611
Idaho,3.02,0.57,3.59,63343,22616744
Illinois,10.64,0.93,11.56,987399,354536196
Indiana,7.42,2.1,9.52,264392,108122440
Iowa,5.3,0.84,6.14,124813,43825513
Kansas,9.43,0.55,9.98,89447,32297232
Kentucky,8.23,0.88,9.11,274307,100781153
Louisiana,5.14,1.48,6.62,368871,144144943
Maine,8.57,1.68,10.26,93025,28507969
Maryland,8.85,4.79,13.64,362930,121632402
Massachusetts,13.03,1.07,14.1,616550,219747617
Michigan,8.03,1.5,9.53,762156,256341987
Minnesota,6.32,2.66,8.98,231314,72279156
Mississippi,8.93,1.76,10.69,167354,61200969
Missouri,8.16,1.26,9.42,312368,126965875
Montana,6.47,2.41,8.89,38665,12794048
Nebraska,4.64,0.86,5.5,69234,25310439
Nevada,5.63,0.32,5.94,237183,75734138
New Hampshire,4.52,3.05,7.57,42485,12904297
New Jersey,12.11,2.22,14.33,429217,161902040
New Mexico,13.07,1.54,14.61,243654,80365949
New York,12.65,1.44,14.09,1687309,637076758
North Carolina,8.11,2.1,10.21,649920,230429077
North Dakota,5.72,2.19,7.91,26993,9416570
Ohio,7.67,1.34,9.01,710915,254754476
Oklahoma,9.63,1.25,10.87,308612,118763118
Oregon,12.66,1.4,14.06,433197,137034416
Pennsylvania,9.49,1.27,10.76,1006281,343635012
Rhode Island,10.61,1.68,12.29,82756,26505897
South Carolina,7.89,1.36,9.25,251041,98897531
South Dakota,2.43,0.85,3.28,35890,14350508
Tennessee,8.43,1.04,9.47,319992,137199702
Texas,5.77,2.55,8.32,1504435,601688365
Utah,5.09,0.65,5.74,81096,31324363
Vermont,4.74,0.39,5.13,37774,12063270
Virgin Islands,3,0.54,3.54,10056,5450355
Virginia,9.54,1.96,11.5,376387,134925972
Washington,5.79,0.26,6.06,516664,165618819
West Virginia,8.57,0.86,9.43,138281,45252887
Wisconsin,3.81,0.66,4.47,354902,110443174
Wyoming,3.27,1.85,5.12,11963,4591350
United States,9.26,1.67,10.93,21179146,7574614824